"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-10,2026-04-03,"Img 24 | Stop Buying Bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,8,1,,"Using campaign budget",0,0.35,Ongoing,-,-,-,8,43.75,1,,0.35,12.5,2,25,0.175,,
2026-03-10,2026-04-03,"Img 19 | The Unfair Advantage",inactive,"7-day click, 1-day view or 1-day engaged view",,,40,1.2,,"Using campaign budget",0,1.77,Ongoing,-,-,-,48,36.875,1,,1.77,2.083333,1,2.083333,1.77,,
2026-03-10,2026-04-03,"Img 18 | This Is What You Get",inactive,"7-day click, 1-day view or 1-day engaged view",,,65,1.015385,,"Using campaign budget",0,4.2,Ongoing,-,-,-,66,63.636364,,,,,1,1.515152,4.2,,
2026-03-10,2026-04-03,"Img 15 | Specs Get Decided Without You",inactive,"7-day click, 1-day view or 1-day engaged view",,,24,1.041667,,"Using campaign budget",0,0.74,Ongoing,-,-,-,25,29.6,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 12 | Pipeline Panic?",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,302,1.139073,,"Using campaign budget",0,37.85,Ongoing,-,-,-,344,110.02907,18,,2.102778,5.232558,17,4.94186,2.226471,10,3.785
2026-03-10,2026-04-03,"Img 9 | No Dashboards",inactive,"7-day click, 1-day view or 1-day engaged view",,,33,1.060606,,"Using campaign budget",0,2.43,Ongoing,-,-,-,35,69.428571,,,,,1,2.857143,2.43,,
2026-03-10,2026-04-03,"Img 7 | Stop Wasting Rep Hours",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,220,1.113636,,"Using campaign budget",0,22.82,Ongoing,-,-,-,245,93.142857,14,,1.63,5.714286,15,6.122449,1.521333,8,2.8525
2026-03-10,2026-04-03,"Img 5 | Don't be the lowest bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,18,1.222222,,"Using campaign budget",0,0.55,Ongoing,-,-,-,22,25,1,,0.55,4.545455,1,4.545455,0.55,,
2026-03-10,2026-04-03,"Img 3 | Stop Overpaying",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1,,"Using campaign budget",0,0.15,Ongoing,-,-,-,3,50,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 29 | Stop Walking Into Price Wars",inactive,"7-day click, 1-day view or 1-day engaged view",,,179,1,,"Using campaign budget",0,10.2,Ongoing,-,-,-,179,56.98324,2,,5.1,1.117318,2,1.117318,5.1,1,10.2
2026-03-10,2026-04-03,"Img 26 | Sell Spec, Not Price",inactive,"7-day click, 1-day view or 1-day engaged view",,,11,1,,"Using campaign budget",0,0.26,Ongoing,-,-,-,11,23.636364,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 23 | Monday Morning: Pipeline Control",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,213,1.131455,,"Using campaign budget",0,25.33,Ongoing,-,-,-,241,105.103734,18,,1.407222,7.46888,19,7.883817,1.333158,5,5.066
2026-03-10,2026-04-03,"Img 21 | Competitor Is Already In",inactive,"7-day click, 1-day view or 1-day engaged view",,,12,1,,"Using campaign budget",0,1.26,Ongoing,-,-,-,12,105,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 17 | Trusted for 10+ Years",inactive,"7-day click, 1-day view or 1-day engaged view",,,261,1.061303,,"Using campaign budget",0,14.5,Ongoing,-,-,-,277,52.34657,5,,2.9,1.805054,6,2.166065,2.416667,1,14.5
2026-03-10,2026-04-03,"Img 14 | The Spec Window Is Where You Win",inactive,"7-day click, 1-day view or 1-day engaged view",,,9,1,,"Using campaign budget",0,0.37,Ongoing,-,-,-,9,41.111111,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 11 | Stop Being the Cheap Option",inactive,"7-day click, 1-day view or 1-day engaged view",,,2,1,,"Using campaign budget",0,0.28,Ongoing,-,-,-,2,140,1,,0.28,50,1,50,0.28,,
2026-03-10,2026-04-03,"Img 8 | If It’s On a Bid Board, It’s Too Late",inactive,"7-day click, 1-day view or 1-day engaged view",,,13,1,,"Using campaign budget",0,0.59,Ongoing,-,-,-,13,45.384615,,,,,0,0,0,,
